Player Name,Age,Team,Positions,Salary,TOI Org ES,TOI Org PP,TOI Org PK,GP Org,GP,TOI ES,TOI PP,TOI PK,Total TOI,Goals,Assists,Points,PPG,PPA,PP Points,SHG,SHA,SHP,Hits,BLK,PIM,FOW,FOL,SOG,"""+/-""",VOR,Rank,Unadj VOR,FP,PlayerId,Fantasy Team,Injured GP,
Jacob Gaucher,24,PHI,C,"$875,000",,,,74,51,12.11,0.45,0.50,13.06,9,11,20,1,1,2,0,0,0,63,25,17,40,45,71,-1,-395,634,-217,155,8481848,,51.4,51.4
Jacob MacDonald,32,COL,"RW,D","$775,000",,,,74,27,10.75,1.29,0.03,12.07,3,4,7,1,2,3,0,0,0,24,18,7,0,0,33,-3,-773,766,-842,66,8479439,,27.0,51.4
Jacob Moverare,27,LAK,D,"$775,000",,,,55,38,10.74,0.03,0.24,11.00,1,5,6,0,0,0,0,0,0,20,37,7,0,0,22,2,-817,774,-886,57,8479421,,38.2,38.2
Jacob Quillan,23,TOR,C,"$875,000",,,,74,51,12.36,0.47,0.47,13.29,9,12,21,1,1,2,0,0,0,78,25,17,16,27,71,0,-355,605,-177,157,8484901,,51.4,51.4
Jacob Trouba,31,ANA,D,"$8,000,000",,,,74,51,18.69,0.36,2.71,21.77,4,13,17,0,1,1,0,1,1,114,119,28,0,0,83,-1,376,175,307,204,8476885,,50.5,50.5
Jaden Schwartz,33,SEA,LW,"$5,500,000",,,,80,44,14.75,2.01,0.40,17.16,12,12,24,4,2,6,0,0,0,38,26,14,25,16,90,-4,-113,388,-107,178,8475768,,44.0,56.6
Jake Bean,27,CGY,D,"$1,750,000",,,,70,47,15.40,0.10,0.52,16.02,2,8,10,0,0,0,0,0,0,16,56,17,0,0,53,-2,-487,693,-555,104,8479402,,47.0,47.0
Jake Christiansen,26,CBJ,D,"$975,000",,,,66,45,11.17,0.05,0.23,11.45,1,5,6,0,0,0,0,0,0,31,35,8,0,0,34,-5,-754,765,-822,67,8481161,,45.1,45.1
Jake DeBrusk,29,VAN,"LW,RW","$5,500,000",,,,80,55,13.23,3.08,0.83,17.14,19,16,35,9,6,15,0,1,1,49,31,11,16,13,132,-6,416,164,422,256,8478498,,54.6,54.6
Jake Evans,29,MTL,C,"$2,850,000",,,,82,58,12.31,0.12,3.16,15.58,8,14,22,0,0,0,2,0,2,79,47,15,376,352,61,-6,-53,365,126,209,8478133,,58.0,58.0
Jake Guentzel,31,TBL,LW,"$9,000,000",,,,77,54,15.20,3.64,0.90,19.74,26,27,53,7,10,17,0,1,1,25,34,16,112,108,144,10,935,49,941,333,8477404,,53.5,53.5
Jake McCabe,32,TOR,D,"$4,513,102",,,,76,53,18.58,0.20,2.55,21.34,3,16,19,0,1,1,0,1,1,87,114,35,0,0,49,8,293,210,224,175,8476931,,52.8,52.8
Jake Middleton,30,MIN,D,"$4,350,000",,,,78,53,17.44,0.06,1.73,19.23,4,11,15,0,0,0,0,0,0,74,97,36,0,0,54,1,123,277,54,158,8478136,,53.3,53.3
Jake Neighbours,23,STL,"LW,RW","$3,750,000",,,,82,55,13.20,2.07,0.14,15.41,16,13,29,4,4,8,0,0,0,112,33,23,8,4,81,-8,307,206,313,207,8482089,,55.0,55.0
Jake Sanderson,23,OTT,D,"$8,050,000",,,,77,54,18.51,3.22,2.81,24.54,7,27,34,3,13,16,0,1,1,23,103,9,0,0,116,1,582,114,513,251,8482105,,53.5,53.5
Jake Walman,29,EDM,D,"$3,400,000",,,,72,49,18.08,1.59,1.99,21.65,7,17,24,1,5,6,0,1,1,32,101,25,0,0,99,-7,338,194,270,209,8478013,,54.0,49.2
Jakob Chychrun,27,WSH,D,"$9,000,000",,,,76,52,19.70,2.66,0.31,22.66,13,24,37,5,7,12,0,0,0,48,70,35,0,0,147,10,867,59,798,296,8479345,,51.9,51.9
Jakob Pelletier,24,TBL,"LW,RW","$775,000",,,,58,40,10.88,0.49,0.48,11.86,6,9,15,1,1,2,0,0,0,37,17,7,10,13,47,0,-620,739,-614,102,8481592,,40.3,40.3
Jalen Chatfield,29,CAR,D,"$3,000,000",,,,78,54,16.94,0.05,1.83,18.82,5,11,16,0,0,0,0,1,1,41,54,24,0,0,76,8,-168,433,-237,153,8478970,,54.2,54.2
James van Riemsdyk,36,DET,LW,"$1,000,000",,,,73,50,10.70,1.22,0.00,11.91,9,12,21,2,2,4,0,0,0,14,17,14,3,5,63,0,-410,648,-404,130,8474037,,49.9,49.9
Jamie Benn,36,DAL,LW,"$1,000,000",,,,78,53,11.60,1.94,0.63,14.17,13,22,35,3,7,10,0,1,1,82,26,24,178,146,84,2,487,142,493,245,8473994,,53.3,53.3
Jamie Drysdale,23,PHI,D,"$2,300,000",,,,78,54,19.05,2.10,0.15,21.30,5,17,22,1,6,7,0,0,0,17,76,15,0,0,66,-6,-20,346,-89,156,8482142,,54.2,54.2
Jamie Oleksiak,33,SEA,D,"$4,600,000",,,,82,58,14.79,0.06,2.31,17.15,3,9,12,0,0,0,0,0,0,67,89,20,0,0,56,1,-139,410,-208,140,8476467,,58.0,58.0
Jani Nyman,21,SEA,LW,"$891,666",,,,72,51,11.00,1.92,0.33,13.25,13,12,25,5,4,9,0,0,0,60,21,17,5,7,82,-1,-9,342,-3,180,8483497,,50.9,50.9
Jansen Harkins,28,ANA,"C,LW","$787,500",,,,60,41,9.10,0.15,0.77,10.02,4,5,9,0,0,0,0,0,0,99,21,13,97,91,32,-3,-518,701,-512,104,8478424,,41.0,41.0
Jared Davidson,23,MTL,C,"$875,000",,,,74,52,11.73,0.42,0.43,12.59,9,11,20,1,1,2,0,0,0,78,24,20,0,4,71,-2,-362,611,-184,153,8483728,,52.3,52.3
Jared McCann,29,SEA,"C,LW","$5,000,000",,,,80,57,13.02,2.70,1.22,16.95,21,25,46,5,9,14,1,0,1,55,30,13,56,65,141,2,708,84,714,298,8477955,,56.6,56.6
Jared Spurgeon,36,MIN,D,"$7,575,000",,,,74,51,17.38,2.08,1.54,21.00,4,19,23,1,7,8,0,0,0,57,90,12,0,0,67,3,147,263,79,178,8474716,,50.5,50.5
Jaroslav Chmelar,22,NYR,RW,"$875,000",,,,74,50,12.29,0.47,0.47,13.22,9,11,20,1,1,2,0,0,0,74,25,18,0,0,70,-1,-239,506,-212,151,8482877,,49.6,49.6
Jason Dickinson,30,CHI,C,"$4,250,000",,,,79,55,12.80,0.20,2.31,15.31,8,10,18,0,0,0,0,1,1,80,50,24,457,402,66,-4,48,304,226,227,8477450,,54.9,54.9
Jason Polin,26,COL,RW,"$875,000",,,,74,51,12.27,0.47,0.47,13.20,9,12,21,1,1,2,0,0,0,85,27,17,0,0,70,0,-192,458,-166,157,8484255,,51.4,51.4
Jason Robertson,26,DAL,LW,"$7,750,000",,,,82,56,15.80,3.46,0.02,19.28,29,38,67,9,17,26,0,0,0,40,30,10,1,3,187,11,1374,9,1380,396,8480027,,56.0,56.0
Jason Zucker,34,BUF,"LW,RW","$4,750,000",,,,74,51,12.54,2.73,0.01,15.28,15,19,34,5,7,12,0,0,0,60,15,30,36,59,104,-3,413,166,419,229,8475722,,50.5,50.5
Jayden Struble,24,MTL,D,"$1,412,500",,,,62,44,14.92,0.03,0.33,15.29,2,8,10,0,0,0,0,0,0,87,38,35,0,0,34,1,-252,515,-321,108,8481593,,57.0,43.9
Jean-Gabriel Pageau,33,NYI,"C,RW","$5,000,000",,,,77,47,12.61,0.96,2.21,15.78,9,13,22,1,1,2,1,1,2,77,41,6,365,275,57,-3,2,333,29,208,8476419,,47.0,52.6
Jeff Malott,29,LAK,LW,"$875,000",,,,74,51,10.31,0.30,0.30,10.92,8,9,17,0,1,1,0,0,0,111,24,19,2,0,59,0,-224,492,-218,144,8482408,,51.4,51.4
Jeff Petry,38,FLA,D,"$775,000",,,,73,52,14.34,0.57,0.86,15.77,2,12,14,0,2,2,0,0,0,53,70,19,0,0,40,-4,-238,505,-307,117,8473507,,51.6,51.6
Jeff Skinner,33,SJS,LW,"$3,000,000",,,,74,50,11.05,1.55,0.01,12.61,11,12,23,1,3,4,0,0,0,25,13,12,13,21,93,1,-278,534,-272,165,8475784,,52.0,49.6
Jeffrey Viel,29,BOS,LW,"$875,000",,,,74,50,11.55,0.38,0.41,12.33,8,10,18,1,1,2,0,0,0,94,26,23,3,3,67,0,-163,427,-157,153,8479705,,49.6,49.6
Jeremy Lauzon,28,VGK,D,"$2,000,000",,,,78,54,14.90,0.05,2.02,16.97,2,7,9,0,0,0,0,0,0,203,69,56,0,0,52,1,411,167,342,174,8478468,,54.0,54.2
Jesper Boqvist,27,FLA,"C,RW","$1,500,000",,,,73,52,11.67,0.39,0.69,12.75,8,11,19,1,1,2,0,0,0,117,21,9,45,66,59,3,-249,514,-222,150,8480003,,51.6,51.6
Jesper Bratt,27,NJD,RW,"$7,875,000",,,,81,55,14.49,2.91,1.19,18.59,16,38,54,4,15,19,1,0,1,55,25,11,0,1,127,5,785,75,812,293,8479407,,55.3,55.3
Jesperi Kotkaniemi,25,CAR,C,"$4,820,000",,,,80,56,11.15,1.01,0.19,12.35,9,14,23,1,2,3,0,0,0,71,25,20,229,235,72,4,-121,396,57,197,8480829,,56.0,55.6
Jett Luchanko,19,PHI,C,"$875,000",,,,74,51,11.99,0.44,0.45,12.88,9,11,20,1,1,2,0,0,0,59,26,17,50,45,67,-2,-405,642,-227,152,8484779,,51.4,51.4
Jimmy Snuggerud,21,STL,RW,"$950,000",,,,76,35,13.32,2.31,0.26,15.89,9,11,20,3,4,7,0,0,0,32,20,12,2,0,73,-2,-331,589,-305,145,8483516,,35.0,51.0
Jiri Kulich,21,BUF,C,"$886,667",,,,78,24,14.35,1.59,0.03,15.97,7,6,13,1,1,2,0,0,0,17,17,6,119,158,52,-2,-791,768,-613,109,8483468,,24.0,53.3
Joakim Kemell,21,NSH,RW,"$875,000",,,,74,51,12.35,0.62,0.49,13.46,9,12,21,1,1,2,0,0,0,72,26,17,0,5,72,-1,-225,493,-198,154,8483465,,51.4,51.4
Joe Veleno,26,MTL,C,"$900,000",,,,76,54,11.34,0.23,0.60,12.17,6,8,14,0,1,1,0,0,0,105,31,17,157,157,51,-9,-373,618,-195,148,8480813,,53.8,53.8
Joel Armia,32,LAK,RW,"$2,500,000",,,,77,54,11.61,0.62,2.00,14.24,8,11,19,1,1,2,1,1,2,51,29,18,10,12,71,-3,-296,551,-270,146,8476469,,53.5,53.5
Joel Edmundson,32,LAK,D,"$3,850,000",,,,73,51,16.09,0.09,2.26,18.44,3,9,12,0,0,0,0,1,1,64,71,19,0,0,62,2,-213,479,-282,138,8476441,,50.7,50.7
Joel Eriksson Ek,29,MIN,C,"$5,250,000",,,,74,51,14.45,3.45,1.88,19.78,16,20,36,6,7,13,0,1,1,88,36,24,522,502,147,3,895,55,1073,366,8478493,,50.5,50.5
Joel Farabee,25,CGY,LW,"$5,000,000",,,,80,54,13.28,1.76,1.24,16.28,13,15,28,1,3,4,1,0,1,50,36,17,16,22,101,-1,59,301,65,202,8480797,,53.7,53.7
Joel Hanley,34,CGY,D,"$1,750,000",,,,60,40,15.25,0.08,1.19,16.53,1,6,7,0,0,0,0,0,0,31,57,19,0,0,28,3,-556,717,-625,82,8477810,,40.2,40.2
Joel Kiviranta,29,COL,"LW,RW","$1,250,000",,,,74,51,10.16,0.20,1.35,11.70,7,6,13,0,0,0,1,0,1,75,26,13,14,7,50,3,-484,691,-478,118,8481641,,51.4,51.4
Joel Nystrom,23,CAR,D,"$875,000",,,,74,51,15.85,0.35,0.88,17.08,3,12,15,0,1,1,0,0,0,32,56,17,0,0,63,2,-298,554,-367,131,8482911,,51.4,51.4
John Beecher,24,CGY,"C,LW","$900,000",,,,76,51,9.37,0.12,1.57,11.06,5,6,11,0,0,0,0,1,1,64,40,15,128,119,39,-5,-427,661,-421,119,8481556,,51.0,51.0
John Carlson,36,WSH,D,"$8,000,000",,,,80,55,17.47,3.18,2.56,23.22,9,32,41,2,13,15,0,0,0,27,92,16,0,0,121,9,757,78,688,274,8474590,,54.6,54.6
John Hayden,30,SEA,C,"$775,000",,,,40,28,8.34,0.45,0.18,8.97,3,4,7,0,1,1,0,0,0,52,18,8,37,41,28,-1,-957,791,-779,72,8477401,,28.3,28.3
John Klingberg,33,SJS,D,"$4,000,000",,,,74,50,17.06,3.26,0.05,20.37,5,21,26,2,10,12,0,0,0,29,64,26,0,0,82,-6,277,214,208,188,8475906,,49.6,49.6
John Marino,28,UTA,D,"$4,400,000",,,,77,52,18.51,0.21,2.07,20.79,3,16,19,0,1,1,0,0,0,15,60,12,0,0,46,5,-345,596,-413,120,8478507,,51.6,51.6
