Player Name,Team,Age,Positions,FP,FP/GP,GP,TOI,PP TOI,G,A,P,SOG,PPG,PPP,BLK,HIT,plus_minus,GWG,FOW,FOL,FO%,Extra,Extra
Evgeni Malkin,PIT,39,"C,LW",268.2,4.40,61,18.5,3.3,17.6,36.4,54.0,143.5,5.3,19.6,29.9,30.5,-1.8,2.4,263.1,299.4,47%,,
Roman Josi,NSH,35,D,266.8,4.37,61,21.2,3.2,10.6,32.4,43.0,147.3,3.6,18.7,91.0,44.3,-3.9,1.5,0.0,0.0,0%,,
Travis Konecny,PHI,28,"LW,RW",265.1,4.28,62,19.7,2.2,19.6,34.2,53.9,154.8,3.0,8.1,35.8,77.5,-2.4,2.8,28.2,45.3,38%,,
Brad Marchand,FLA,37,LW,264.6,4.34,61,18.3,3.2,24.0,27.6,51.6,161.7,4.9,16.2,25.7,64.6,2.3,4.0,8.1,12.9,38%,,
Miro Heiskanen,DAL,26,D,262.0,4.37,60,26.6,3.7,7.4,34.0,41.4,136.3,1.6,15.7,108.0,27.9,6.8,1.3,0.0,0.0,0%,,
Jakob Chychrun,WSH,27,D,261.9,4.36,60,23.7,3.1,14.7,25.9,40.6,169.4,5.5,13.9,82.8,53.1,3.9,2.5,0.0,0.0,0%,,
Patrick Kane,DET,37,RW,261.5,4.36,60,16.9,3.7,17.6,32.6,50.2,153.1,8.3,25.9,16.8,22.7,-2.7,2.3,0.9,3.1,22%,,
Anton Lundell,FLA,24,C,259.1,4.25,61,20.3,3.2,17.5,30.7,48.2,151.3,4.8,15.5,46.7,75.9,3.3,2.9,557.6,475.3,54%,,
Matthew Knies,TOR,23,LW,258.0,4.30,60,21.0,3.1,22.0,31.4,53.4,136.9,5.2,12.6,33.5,143.8,2.2,3.0,0.0,0.6,0%,,
Gabriel Vilardi,WPG,26,"C,RW",257.6,4.22,61,18.8,2.8,24.1,26.7,50.8,139.2,8.9,17.8,35.5,24.1,2.3,3.7,44.5,47.9,48%,,
Zach Hyman,EDM,33,"LW,RW",257.6,4.44,58,21.1,3.2,26.8,19.1,45.8,192.7,6.8,11.8,23.8,75.5,6.3,4.0,3.6,5.5,40%,,
Shea Theodore,VGK,30,D,256.6,4.21,61,23.7,1.8,6.7,37.6,44.3,127.8,1.5,10.8,97.8,14.4,8.0,1.2,0.0,0.0,0%,,
Lane Hutson,MTL,21,D,256.4,4.20,61,23.1,3.3,6.1,43.6,49.7,85.0,0.9,18.5,92.6,38.8,0.9,0.9,0.0,0.0,0%,,
Bo Horvat,NYI,30,C,256.1,4.34,59,19.8,3.2,23.9,23.4,47.3,179.0,5.2,11.9,25.7,54.3,0.0,3.4,573.4,435.4,57%,,
Jake Sanderson,OTT,23,D,255.8,4.19,61,25.1,2.5,8.1,29.5,37.6,137.9,2.4,12.8,122.4,34.6,2.1,1.3,0.1,0.2,34%,,
Leo Carlsson,ANA,20,C,255.2,4.25,60,20.1,2.8,22.5,30.2,52.7,134.6,4.1,12.4,35.0,25.3,-0.7,3.1,356.3,524.1,40%,,
Mika Zibanejad,NYR,32,"C,RW",255.1,4.32,59,20.1,3.0,17.2,29.5,46.7,158.1,6.7,16.5,38.6,51.6,0.0,3.0,405.9,385.2,51%,,
Brandon Hagel,T.B,27,"LW,RW",255.1,4.18,61,18.3,1.5,21.4,31.6,53.0,144.5,1.1,5.3,37.2,42.3,8.2,3.9,18.6,29.9,38%,,
Mats Zuccarello,MIN,38,RW,253.7,4.30,59,18.5,4.1,14.5,35.7,50.2,129.4,3.9,21.1,34.4,30.3,0.8,2.3,20.4,29.9,0%,,
Jared McCann,SEA,29,"C,LW",253.1,4.22,60,17.3,3.0,19.9,27.8,47.8,156.3,4.9,15.0,33.4,45.0,-4.0,2.4,86.6,98.3,47%,,
Dylan Guenther,UTA,22,RW,252.2,4.20,60,16.8,2.8,21.3,23.4,44.8,175.6,7.7,16.6,26.9,53.4,0.9,3.2,14.9,30.1,33%,,
Troy Terry,ANA,28,RW,252.2,4.20,60,19.7,2.9,18.1,33.1,51.2,154.0,2.9,10.5,22.3,11.6,-1.1,2.5,6.4,9.2,41%,,
Joel Eriksson Ek,MIN,28,C,251.5,4.26,59,20.0,3.6,17.8,24.0,41.9,181.8,7.2,15.4,39.1,101.8,2.1,2.8,602.7,618.7,49%,,
Trevor Zegras,PHI,24,C,250.8,4.05,62,19.7,2.7,18.7,31.6,50.3,148.3,3.7,11.3,28.8,46.5,-2.5,2.7,99.7,168.3,37%,,
Nick Schmaltz,UTA,29,"C,RW",248.6,4.14,60,19.8,2.8,18.2,30.7,48.9,138.2,6.3,15.2,35.3,17.4,0.1,2.8,137.6,172.5,0%,,
Shayne Gostisbehere,CAR,32,D,247.3,4.12,60,21.9,3.2,7.5,36.5,44.0,116.6,2.7,19.6,75.1,49.3,8.2,1.4,0.0,0.0,0%,,
Drake Batherson,OTT,27,"LW,RW",247.2,4.05,61,18.4,2.4,19.8,30.8,50.6,136.5,5.8,14.8,24.5,101.5,2.1,3.2,16.1,14.1,53%,,
Robert Thomas,STL,26,C,246.9,4.12,60,18.2,2.3,16.2,38.3,54.5,106.2,3.5,13.9,32.9,17.2,0.5,2.4,549.5,479.4,53%,,
Erik Karlsson,PIT,35,D,246.5,4.04,61,25.1,3.3,7.5,32.9,40.4,141.5,1.6,13.4,82.0,26.9,-0.7,1.0,0.0,0.0,0%,,
Mikhail Sergachev,UTA,27,D,245.8,4.10,60,25.0,2.9,9.4,30.4,39.7,110.5,2.0,15.9,110.9,43.9,-1.5,1.4,0.0,0.0,0%,,
William Eklund,S.J,23,LW,245.4,4.16,59,20.3,3.9,16.3,31.7,48.0,126.6,7.2,18.3,39.7,44.0,-5.8,2.0,19.5,54.8,26%,,
Matthew Schaefer,NYI,18,D,244.5,4.14,59,23.3,3.3,14.1,23.2,37.3,151.0,8.1,17.4,79.4,48.1,0.2,2.0,0.0,0.0,0%,,
Seth Jarvis,CAR,23,"C,LW,RW",244.0,4.07,60,17.8,2.8,23.8,23.5,47.2,149.0,5.3,11.3,32.9,64.9,6.9,4.3,55.1,82.7,40%,,
Alex Tuch,BUF,29,RW,243.8,4.06,60,18.2,1.6,20.8,24.9,45.7,135.7,1.7,5.6,66.8,52.4,1.4,2.9,34.1,48.7,41%,,
Artturi Lehkonen,COL,30,"LW,RW",243.5,4.06,60,20.4,3.0,22.9,23.3,46.2,150.2,4.0,9.4,40.5,34.7,10.6,4.0,5.0,11.4,31%,,
Ben Kindel,PIT,18,C,243.4,3.99,61,17.7,3.2,20.3,21.9,42.2,140.8,8.5,21.7,49.4,42.5,-1.7,2.8,192.9,215.1,47%,,
Tom Wilson,WSH,31,RW,243.4,4.06,60,19.2,2.7,23.4,23.6,47.0,134.9,7.4,12.0,46.1,162.5,4.1,4.1,11.5,22.7,34%,,
Josh Norris,BUF,26,C,241.6,4.03,60,18.9,5.1,22.8,20.7,43.5,139.1,10.2,21.2,40.9,118.0,-1.1,3.2,434.5,387.6,53%,,
Noah Dobson,MTL,25,D,241.4,3.96,61,22.9,1.8,7.6,29.0,36.5,130.4,0.5,7.9,117.4,46.8,1.2,1.1,0.0,0.0,0%,,
Nikolaj Ehlers,CAR,29,"LW,RW",240.4,4.01,60,15.6,2.9,16.9,29.0,45.9,153.1,3.7,15.2,22.0,33.1,7.6,3.1,7.4,19.0,28%,,
